XPATH,Parent_Key_Val,Attribute,Is_key_attribute,Is_Configurable_Attribute,Default_Value
/system/config,,hostname,False,True,GX
/system/config,,domain-name,False,True,IGNORE
/system/config,,login-banner,False,True,IGNORE
/system/config,,motd-banner,False,True,IGNORE
/system/state,,hostname,False,False,IOA
/system/state,,domain-name,False,False,IGNORE
/system/state,,login-banner,False,False,IOA
/system/state,,motd-banner,False,False,IOA
/system/state,,current-datetime,False,False,IOA
 ,,boot-time,False,False,IGNORE
/system/clock/config,,timezone-name,False,True,Universal-Time-Coordinated
/system/clock/state,,timezone-name,False,False,IOA
/system/grpc-server/config,,enable,False,True,IGNORE
/system/grpc-server/config,,port,False,True,IGNORE
/system/grpc-server/config,,transport-security,False,False,IGNORE
/system/grpc-server/config,,certificate-id,False,True,IGNORE
/system/grpc-server/config,,metadata-authentication,False,False,IGNORE
/system/grpc-server/config,,listen-addresses,False,False,IGNORE
/system/grpc-server/state,,enable,False,False,IGNORE
/system/grpc-server/state,,port,False,False,IGNORE
/system/grpc-server/state,,transport-security,False,False,IGNORE
/system/grpc-server/state,,certificate-id,False,False,IGNORE
/system/grpc-server/state,,metadata-authentication,False,False,IGNORE
/system/grpc-server/state,,listen-addresses,False,False,IGNORE
/system/ssh-server/config,,enable,False,True,IOA
/system/ssh-server/config,,protocol-version,False,False,V2
/system/ssh-server/config,,timeout,False,True,IGNORE
/system/ssh-server/config,,rate-limit,False,True,IGNORE
/system/ssh-server/config,,session-limit,False,True,IGNORE
/system/ssh-server/state,,enable,False,False,IOA
/system/ssh-server/state,,protocol-version,False,False,V2
/system/ssh-server/state,,timeout,False,False,IGNORE
/system/ssh-server/state,,rate-limit,False,False,IGNORE
/system/ssh-server/state,,session-limit,False,False,IGNORE
