XPATH,Parent_Key_Val,Attribute,Is_key_attribute,Is_Configurable_Attribute,Default_Value
/system/ntp/servers/server,server.address=[1.1.1.1],address,True,True,1.1.1.1
/system/ntp/servers/server/config,server.address=[1.1.1.1],address,False,True,IOA
/system/ntp/servers/server/config,server.address=[1.1.1.1],port,False,True,IGNORE
/system/ntp/servers/server/config,server.address=[1.1.1.1],association-type,False,True,IGNORE
/system/ntp/servers/server/config,server.address=[1.1.1.1],iburst,False,True,IGNORE
/system/ntp/servers/server/config,server.address=[1.1.1.1],prefer,False,True,IGNORE
/system/ntp/servers/server/state,server.address=[1.1.1.1],address,False,False,IOA
/system/ntp/servers/server/state,server.address=[1.1.1.1],port,False,False,IGNORE
/system/ntp/servers/server/state,server.address=[1.1.1.1],association-type,False,False,IGNORE
/system/ntp/servers/server/state,server.address=[1.1.1.1],iburst,False,False,IGNORE
/system/ntp/servers/server/state,server.address=[1.1.1.1],prefer,False,False,IGNORE
/system/ntp/servers/server/state,server.address=[1.1.1.1],stratum,False,False,IGNORE
/system/ntp/servers/server/state,server.address=[1.1.1.1],root-delay,False,False,IGNORE
/system/ntp/servers/server/state,server.address=[1.1.1.1],root-dispersion,False,False,IGNORE
/system/ntp/servers/server/state,server.address=[1.1.1.1],offset,False,False,IGNORE
/system/ntp/servers/server/state,server.address=[1.1.1.1],poll-interval,False,False,IGNORE
