XPATH,Parent_Key_Val,Attribute,Is_key_attribute,Is_Configurable_Attribute,Default_Value
/system/aaa/authentication/users/user,,username,True,True,IOA
/system/aaa/authentication/users/user/config,user.username=[guru],username,False,True,IOA
/system/aaa/authentication/users/user/config,user.username=[guru],password,False,True,IOA
/system/aaa/authentication/users/user/config,user.username=[guru],password-hashed,False,True,IGNORE
/system/aaa/authentication/users/user/config,user.username=[guru],ssh-key,False,True,IGNORE
/system/aaa/authentication/users/user/config,user.username=[guru],role,False,True,SYSTEM_ROLE_MAINT
/system/aaa/authentication/users/user/state,user.username=[guru],username,False,False,IOA
/system/aaa/authentication/users/user/state,user.username=[guru],password,False,False,IOA
/system/aaa/authentication/users/user/state,user.username=[guru],password-hashed,False,False,IGNORE
/system/aaa/authentication/users/user/state,user.username=[guru],ssh-key,False,False,IGNORE
/system/aaa/authentication/users/user/state,user.username=[guru],role,False,False,SYSTEM_ROLE_MAINT
/system/aaa/authentication/admin-user/config,,admin-password,False,True,IGNORE
/system/aaa/authentication/admin-user/config,,admin-password-hashed,False,True,IGNORE
/system/aaa/authentication/admin-user/state,,admin-password,False,False,IGNORE
/system/aaa/authentication/admin-user/state,,admin-password-hashed,False,False,IGNORE
/system/aaa/authentication/admin-user/state,,admin-username,False,False,admin
/system/aaa/authorization/config,,authorization-method,False,True,LOCAL
/system/aaa/authorization/state,,authorization-method,False,False,LOCAL
/system/aaa/authorization/events/event,,event-type,True,True,IGNORE
/system/aaa/authorization/events/event/config,,event-type,False,True,IGNORE
/system/aaa/authorization/events/event/state,,event-type,False,False,IGNORE
/system/aaa/accounting/config,,accounting-method,False,True,IGNORE
/system/aaa/accounting/state,,accounting-method,False,False,IGNORE
/system/aaa/accounting/events/event,,event-type,True,True,IGNORE
/system/aaa/accounting/events/event/config,,event-type,False,True,IGNORE
/system/aaa/accounting/events/event/config,,record,False,True,IGNORE
/system/aaa/accounting/events/event/state,,event-type,False,False,IGNORE
/system/aaa/accounting/events/event/state,,record,False,False,IGNORE
/system/aaa/authentication/config,,authentication-method,False,True,LOCAL
/system/aaa/authentication/state,,authentication-method,False,False,LOCAL
