XPATH,Parent_Key_Val,Attribute,Is_key_attribute,Is_Configurable_Attribute,Default_Value
/terminal-device/logical-channels/channel/logical-channel-assignments/assignment,,index,True,True,
/terminal-device/logical-channels/channel,,index,True,True,
/terminal-device/logical-channels/channel/config,,index,False,True,
/terminal-device/logical-channels/channel/config,,description,False,True,
/terminal-device/logical-channels/channel/config,,admin-state,False,True,
/terminal-device/logical-channels/channel/config,,rate-class,False,True,
/terminal-device/logical-channels/channel/config,,trib-protocol,False,True,
/terminal-device/logical-channels/channel/config,,logical-channel-type,False,True,
/terminal-device/logical-channels/channel/config,,loopback-mode,False,True,
/terminal-device/logical-channels/channel/config,,test-signal,False,True,False
/terminal-device/logical-channels/channel/ethernet/config,,client-als,False,True,ETHERNET
/terminal-device/logical-channels/channel/ethernet/config,,als-delay,False,True,
/terminal-device/logical-channels/channel/ethernet/lldp/config,,enabled,False,True,False
/terminal-device/logical-channels/channel/ethernet/lldp/config,,snooping,False,True,False
/terminal-device/logical-channels/channel/ingress/config,,transceiver,False,True,
/terminal-device/logical-channels/channel/ingress/config,,physical-channel,False,True,
/terminal-device/logical-channels/channel/logical-channel-assignments/assignment/config,,index,False,True,
/terminal-device/logical-channels/channel/logical-channel-assignments/assignment/config,,description,False,True,
/terminal-device/logical-channels/channel/logical-channel-assignments/assignment/config,,assignment-type,False,True,False
/terminal-device/logical-channels/channel/logical-channel-assignments/assignment/config,,logical-channel,False,True,
/terminal-device/logical-channels/channel/logical-channel-assignments/assignment/config,,optical-channel,False,True,
/terminal-device/logical-channels/channel/logical-channel-assignments/assignment/config,,allocation,False,True,
/terminal-device/logical-channels/channel/logical-channel-assignments/assignment/config,,tributary-slot-index,False,True,
/terminal-device/logical-channels/channel/logical-channel-assignments/assignment/config,,mapping,False,True,
/terminal-device/logical-channels/channel/otn/config,,tti-msg-transmit,False,True,
/terminal-device/logical-channels/channel/otn/config,,tti-msg-expected,False,True,
/terminal-device/logical-channels/channel/otn/config,,tti-msg-auto,False,True,False
/terminal-device/logical-channels/channel/otn/config,,tributary-slot-granularity,False,True,
/terminal-device/logical-channels/channel/ethernet/lldp/state/counters,,frame-in,False,False,
/terminal-device/logical-channels/channel/ethernet/lldp/state/counters,,frame-out,False,False,
/terminal-device/logical-channels/channel/ethernet/lldp/state/counters,,frame-error-in,False,False,
/terminal-device/logical-channels/channel/ethernet/lldp/state/counters,,frame-discard,False,False,
/terminal-device/logical-channels/channel/ethernet/lldp/state/counters,,tlv-discard,False,False,
/terminal-device/logical-channels/channel/ethernet/lldp/state/counters,,tlv-unknown,False,False,
/terminal-device/logical-channels/channel/ethernet/lldp/state/counters,,last-clear,False,False,
/terminal-device/logical-channels/channel/ethernet/lldp/state/counters,,frame-error-out,False,False,
/terminal-device/logical-channels/channel/otn/state/esnr,,instant,False,False,
/terminal-device/logical-channels/channel/otn/state/esnr,,avg,False,False,
/terminal-device/logical-channels/channel/otn/state/esnr,,min-,False,False,
/terminal-device/logical-channels/channel/otn/state/esnr,,max-,False,False,
/terminal-device/logical-channels/channel/otn/state/esnr,,interval,False,False,
/terminal-device/logical-channels/channel/otn/state/esnr,,min-time,False,False,
/terminal-device/logical-channels/channel/otn/state/esnr,,max-time,False,False,
/terminal-device/operational-modes/mode,,mode-id,True,False,
/terminal-device/logical-channels/channel/ethernet/lldp/neighbors/neighbor,,id,True,False,
/terminal-device/logical-channels/channel/otn/state/post-fec-ber,,instant,False,False,
/terminal-device/logical-channels/channel/otn/state/post-fec-ber,,avg,False,False,
/terminal-device/logical-channels/channel/otn/state/post-fec-ber,,min-,False,False,
/terminal-device/logical-channels/channel/otn/state/post-fec-ber,,max-,False,False,
/terminal-device/logical-channels/channel/otn/state/post-fec-ber,,interval,False,False,
/terminal-device/logical-channels/channel/otn/state/post-fec-ber,,min-time,False,False,
/terminal-device/logical-channels/channel/otn/state/post-fec-ber,,max-time,False,False,
/terminal-device/logical-channels/channel/otn/state/pre-fec-ber,,instant,False,False,
/terminal-device/logical-channels/channel/otn/state/pre-fec-ber,,avg,False,False,
/terminal-device/logical-channels/channel/otn/state/pre-fec-ber,,min-,False,False,
/terminal-device/logical-channels/channel/otn/state/pre-fec-ber,,max-,False,False,
/terminal-device/logical-channels/channel/otn/state/pre-fec-ber,,interval,False,False,
/terminal-device/logical-channels/channel/otn/state/pre-fec-ber,,min-time,False,False,
/terminal-device/logical-channels/channel/otn/state/pre-fec-ber,,max-time,False,False,
/terminal-device/logical-channels/channel/otn/state/q-value,,instant,False,False,
/terminal-device/logical-channels/channel/otn/state/q-value,,avg,False,False,
/terminal-device/logical-channels/channel/otn/state/q-value,,min-,False,False,
/terminal-device/logical-channels/channel/otn/state/q-value,,max-,False,False,
/terminal-device/logical-channels/channel/otn/state/q-value,,interval,False,False,
/terminal-device/logical-channels/channel/otn/state/q-value,,min-time,False,False,
/terminal-device/logical-channels/channel/otn/state/q-value,,max-time,False,False,
/terminal-device/logical-channels/channel/ethernet/lldp/neighbors/neighbor/custom-tlvs/tlv/state,,type,False,False,
/terminal-device/logical-channels/channel/ethernet/lldp/neighbors/neighbor/custom-tlvs/tlv/state,,oui,False,False,
/terminal-device/logical-channels/channel/ethernet/lldp/neighbors/neighbor/custom-tlvs/tlv/state,,oui-subtype,False,False,
/terminal-device/logical-channels/channel/ethernet/lldp/neighbors/neighbor/custom-tlvs/tlv/state,,value,False,False,
/terminal-device/logical-channels/channel/ethernet/lldp/neighbors/neighbor/state,,system-name,False,False,
/terminal-device/logical-channels/channel/ethernet/lldp/neighbors/neighbor/state,,system-description,False,False,
/terminal-device/logical-channels/channel/ethernet/lldp/neighbors/neighbor/state,,chassis-id,False,False,
/terminal-device/logical-channels/channel/ethernet/lldp/neighbors/neighbor/state,,chassis-id-type,False,False,
/terminal-device/logical-channels/channel/ethernet/lldp/neighbors/neighbor/state,,id,False,False,
/terminal-device/logical-channels/channel/ethernet/lldp/neighbors/neighbor/state,,age,False,False,
/terminal-device/logical-channels/channel/ethernet/lldp/neighbors/neighbor/state,,last-update,False,False,
/terminal-device/logical-channels/channel/ethernet/lldp/neighbors/neighbor/state,,ttl,False,False,
/terminal-device/logical-channels/channel/ethernet/lldp/neighbors/neighbor/state,,port-id,False,False,
