XPATH,Parent_Key_Val,Attribute,Is_key_attribute,Is_Configurable_Attribute,Default_Value
/terminal-device/logical-channels/channel,channel.index=[10],index,True,True,10
/terminal-device/logical-channels/channel/config,channel.index=[10],index,False,True,10
/terminal-device/logical-channels/channel/config,channel.index=[10],description,False,True,odu-1-4-L1-1-ODU4-1
/terminal-device/logical-channels/channel/config,channel.index=[10],admin-state,False,True,ENABLED
/terminal-device/logical-channels/channel/config,channel.index=[10],rate-class,False,False,TRIB_RATE_100G
/terminal-device/logical-channels/channel/config,channel.index=[10],infinera-openconfig-extensions:trib-protocol,False,True,PROT_ODU4i
/terminal-device/logical-channels/channel/config,channel.index=[10],logical-channel-type,False,True,oc-opt-types:PROT_OTN
/terminal-device/logical-channels/channel/config,channel.index=[10],loopback-mode,False,False,NONE
/terminal-device/logical-channels/channel/config,channel.index=[10],test-signal,False,True,IGNORE
/terminal-device/logical-channels/channel/state,channel.index=[10],index,False,False,10
/terminal-device/logical-channels/channel/state,channel.index=[10],description,False,False,odu-1-4-L1-1-ODU4-1
/terminal-device/logical-channels/channel/state,channel.index=[10],admin-state,False,False,ENABLED
/terminal-device/logical-channels/channel/state,channel.index=[10],rate-class,False,False,TRIB_RATE_100G
/terminal-device/logical-channels/channel/state,channel.index=[10],infinera-openconfig-extensions:trib-protocol,False,False,PROT_ODU4i
/terminal-device/logical-channels/channel/state,channel.index=[10],logical-channel-type,False,False,PROT_OTN
/terminal-device/logical-channels/channel/state,channel.index=[10],loopback-mode,False,False,NONE
/terminal-device/logical-channels/channel/state,channel.index=[10],test-signal,False,False,false
/terminal-device/logical-channels/channel/state,channel.index=[10],link-state,False,False,UP^DOWN
/terminal-device/logical-channels/channel/ethernet/config,channel.index=[10],client-als,False,True,IGNORE
/terminal-device/logical-channels/channel/ethernet/config,channel.index=[10],als-delay,False,True,IGNORE
/terminal-device/logical-channels/channel/ethernet/state,channel.index=[10],client-als,False,False,IGNORE
/terminal-device/logical-channels/channel/ethernet/state,channel.index=[10],als-delay,False,False,IGNORE
/terminal-device/logical-channels/channel/ethernet/state,channel.index=[10],in-mac-control-frames,False,False,IGNORE
/terminal-device/logical-channels/channel/ethernet/state,channel.index=[10],in-mac-pause-frames,False,False,IGNORE
/terminal-device/logical-channels/channel/ethernet/state,channel.index=[10],in-oversize-frames,False,False,IGNORE
/terminal-device/logical-channels/channel/ethernet/state,channel.index=[10],in-undersize-frames,False,False,IGNORE
/terminal-device/logical-channels/channel/ethernet/state,channel.index=[10],in-jabber-frames,False,False,IGNORE
/terminal-device/logical-channels/channel/ethernet/state,channel.index=[10],in-fragment-frames,False,False,IGNORE
/terminal-device/logical-channels/channel/ethernet/state,channel.index=[10],in-8021q-frames,False,False,IGNORE
/terminal-device/logical-channels/channel/ethernet/state,channel.index=[10],in-crc-errors,False,False,IGNORE
/terminal-device/logical-channels/channel/ethernet/state,channel.index=[10],in-block-errors,False,False,IGNORE
/terminal-device/logical-channels/channel/ethernet/state,channel.index=[10],out-mac-control-frames,False,False,IGNORE
/terminal-device/logical-channels/channel/ethernet/state,channel.index=[10],out-mac-pause-frames,False,False,IGNORE
/terminal-device/logical-channels/channel/ethernet/state,channel.index=[10],out-8021q-frames,False,False,IGNORE
/terminal-device/logical-channels/channel/ethernet/state,channel.index=[10],in-pcs-bip-errors,False,False,IGNORE
/terminal-device/logical-channels/channel/ethernet/state,channel.index=[10],in-pcs-errored-seconds,False,False,IGNORE
/terminal-device/logical-channels/channel/ethernet/state,channel.index=[10],in-pcs-severely-errored-seconds,False,False,IGNORE
/terminal-device/logical-channels/channel/ethernet/state,channel.index=[10],in-pcs-unavailable-seconds,False,False,IGNORE
/terminal-device/logical-channels/channel/ethernet/state,channel.index=[10],out-pcs-bip-errors,False,False,IGNORE
/terminal-device/logical-channels/channel/ethernet/state,channel.index=[10],out-crc-errors,False,False,IGNORE
/terminal-device/logical-channels/channel/ethernet/state,channel.index=[10],out-block-errors,False,False,IGNORE
/terminal-device/logical-channels/channel/ethernet/lldp/config,channel.index=[10],enabled,False,True,IGNORE
/terminal-device/logical-channels/channel/ethernet/lldp/config,channel.index=[10],snooping,False,True,IGNORE
/terminal-device/logical-channels/channel/ethernet/lldp/state,channel.index=[10],enabled,False,False,IGNORE
/terminal-device/logical-channels/channel/ethernet/lldp/state,channel.index=[10],snooping,False,False,IGNORE
/terminal-device/logical-channels/channel/ethernet/lldp/state/counters,channel.index=[10],frame-in,False,False,IGNORE
/terminal-device/logical-channels/channel/ethernet/lldp/state/counters,channel.index=[10],frame-out,False,False,IGNORE
/terminal-device/logical-channels/channel/ethernet/lldp/state/counters,channel.index=[10],frame-error-in,False,False,IGNORE
/terminal-device/logical-channels/channel/ethernet/lldp/state/counters,channel.index=[10],frame-discard,False,False,IGNORE
/terminal-device/logical-channels/channel/ethernet/lldp/state/counters,channel.index=[10],tlv-discard,False,False,IGNORE
/terminal-device/logical-channels/channel/ethernet/lldp/state/counters,channel.index=[10],tlv-unknown,False,False,IGNORE
/terminal-device/logical-channels/channel/ethernet/lldp/state/counters,channel.index=[10],last-clear,False,False,IGNORE
/terminal-device/logical-channels/channel/ethernet/lldp/state/counters,channel.index=[10],frame-error-out,False,False,IGNORE
/terminal-device/logical-channels/channel/ethernet/lldp/neighbors/neighbor,channel.index=[10],id,True,False,IGNORE
/terminal-device/logical-channels/channel/ethernet/lldp/neighbors/neighbor/state,channel.index=[10],system-name,False,False,IGNORE
/terminal-device/logical-channels/channel/ethernet/lldp/neighbors/neighbor/state,channel.index=[10],system-description,False,False,IGNORE
/terminal-device/logical-channels/channel/ethernet/lldp/neighbors/neighbor/state,channel.index=[10],chassis-id,False,False,IGNORE
/terminal-device/logical-channels/channel/ethernet/lldp/neighbors/neighbor/state,channel.index=[10],chassis-id-type,False,False,IGNORE
/terminal-device/logical-channels/channel/ethernet/lldp/neighbors/neighbor/state,channel.index=[10],id,False,False,IGNORE
/terminal-device/logical-channels/channel/ethernet/lldp/neighbors/neighbor/state,channel.index=[10],age,False,False,IGNORE
/terminal-device/logical-channels/channel/ethernet/lldp/neighbors/neighbor/state,channel.index=[10],last-update,False,False,IGNORE
/terminal-device/logical-channels/channel/ethernet/lldp/neighbors/neighbor/state,channel.index=[10],ttl,False,False,IGNORE
/terminal-device/logical-channels/channel/ethernet/lldp/neighbors/neighbor/state,channel.index=[10],port-id,False,False,IGNORE
/terminal-device/logical-channels/channel/ethernet/lldp/neighbors/neighbor/state,channel.index=[10],port-id-type,False,False,IGNORE
/terminal-device/logical-channels/channel/ethernet/lldp/neighbors/neighbor/state,channel.index=[10],port-description,False,False,IGNORE
/terminal-device/logical-channels/channel/ethernet/lldp/neighbors/neighbor/state,channel.index=[10],management-address,False,False,IGNORE
/terminal-device/logical-channels/channel/ethernet/lldp/neighbors/neighbor/state,channel.index=[10],management-address-type,False,False,IGNORE
/terminal-device/logical-channels/channel/ethernet/lldp/neighbors/neighbor/custom-tlvs/tlv,channel.index=[10],type,True,False,IGNORE
/terminal-device/logical-channels/channel/ethernet/lldp/neighbors/neighbor/custom-tlvs/tlv,channel.index=[10],oui,True,False,IGNORE
/terminal-device/logical-channels/channel/ethernet/lldp/neighbors/neighbor/custom-tlvs/tlv,channel.index=[10],oui-subtype,True,False,IGNORE
/terminal-device/logical-channels/channel/ethernet/lldp/neighbors/neighbor/custom-tlvs/tlv/state,channel.index=[10],type,False,False,IGNORE
