XPATH,Parent_Key_Val,Attribute,Is_key_attribute,Is_Configurable_Attribute,Default_Value
/terminal-device/logical-channels/channel,channel.index=[2819010752],index,True,True,2819010752
/terminal-device/logical-channels/channel/config,channel.index=[2819010752],index,False,True,2819010752
/terminal-device/logical-channels/channel/config,channel.index=[2819010752],description,False,True,otu-1-4-T10
/terminal-device/logical-channels/channel/config,channel.index=[2819010752],admin-state,False,True,ENABLED
/terminal-device/logical-channels/channel/config,channel.index=[2819010752],rate-class,False,False,TRIB_RATE_100G
/terminal-device/logical-channels/channel/config,channel.index=[2819010752],trib-protocol,False,True,PROT_OTU4
/terminal-device/logical-channels/channel/config,channel.index=[2819010752],logical-channel-type,False,True,PROT_OTN
/terminal-device/logical-channels/channel/config,channel.index=[2819010752],loopback-mode,False,True,NONE
/terminal-device/logical-channels/channel/config,channel.index=[2819010752],test-signal,False,True,IGNORE
/terminal-device/logical-channels/channel/state,channel.index=[2819010752],index,False,False,2819010752
/terminal-device/logical-channels/channel/state,channel.index=[2819010752],description,False,False,otu-1-4-T10
/terminal-device/logical-channels/channel/state,channel.index=[2819010752],admin-state,False,False,ENABLED
/terminal-device/logical-channels/channel/state,channel.index=[2819010752],rate-class,False,False,TRIB_RATE_100G
/terminal-device/logical-channels/channel/state,channel.index=[2819010752],trib-protocol,False,False,PROT_OTU4
/terminal-device/logical-channels/channel/state,channel.index=[2819010752],logical-channel-type,False,False,PROT_OTN
/terminal-device/logical-channels/channel/state,channel.index=[2819010752],loopback-mode,False,False,NONE
/terminal-device/logical-channels/channel/state,channel.index=[2819010752],test-signal,False,False,IGNORE
/terminal-device/logical-channels/channel/state,channel.index=[2819010752],link-state,False,False,UP^DOWN
/terminal-device/logical-channels/channel/ethernet/config,channel.index=[2819010752],client-als,False,True,IGNORE
/terminal-device/logical-channels/channel/ethernet/config,channel.index=[2819010752],als-delay,False,True,IGNORE
/terminal-device/logical-channels/channel/ethernet/state,channel.index=[2819010752],client-als,False,False,IGNORE
/terminal-device/logical-channels/channel/ethernet/state,channel.index=[2819010752],als-delay,False,False,IGNORE
/terminal-device/logical-channels/channel/ethernet/state,channel.index=[2819010752],in-mac-control-frames,False,False,IGNORE
/terminal-device/logical-channels/channel/ethernet/state,channel.index=[2819010752],in-mac-pause-frames,False,False,IGNORE
/terminal-device/logical-channels/channel/ethernet/state,channel.index=[2819010752],in-oversize-frames,False,False,IGNORE
