XPATH,Parent_Key_Val,Attribute,Is_key_attribute,Is_Configurable_Attribute,Default_Value
/terminal-device/logical-channels/channel,,index,1.0,1.0,2818966048
/terminal-device/logical-channels/channel/config,channel.index=[2818966048],index,0.0,1.0,2818966048
/terminal-device/logical-channels/channel/config,channel.index=[2818966048],description,0.0,1.0,otu-1-4-L1-1
/terminal-device/logical-channels/channel/config,channel.index=[2818966048],admin-state,0.0,1.0,ENABLED
/terminal-device/logical-channels/channel/config,channel.index=[2818966048],rate-class,0.0,0.0,TRIB_RATE_600G
/terminal-device/logical-channels/channel/config,channel.index=[2818966048],trib-protocol,0.0,1.0,PROT_OTUCNi
/terminal-device/logical-channels/channel/config,channel.index=[2818966048],logical-channel-type,0.0,1.0,PROT_OTN
/terminal-device/logical-channels/channel/config,channel.index=[2818966048],loopback-mode,0.0,1.0,NONE
/terminal-device/logical-channels/channel/config,channel.index=[2818966048],test-signal,0.0,1.0,IGNORE
/terminal-device/logical-channels/channel/state,channel.index=[2818966048],index,0.0,0.0,2818966048
/terminal-device/logical-channels/channel/state,channel.index=[2818966048],description,0.0,0.0,otu-1-4-L1-1
/terminal-device/logical-channels/channel/state,channel.index=[2818966048],admin-state,0.0,0.0,ENABLED
/terminal-device/logical-channels/channel/state,channel.index=[2818966048],rate-class,0.0,0.0,TRIB_RATE_600G
/terminal-device/logical-channels/channel/state,channel.index=[2818966048],trib-protocol,0.0,0.0,PROT_OTUCNi
/terminal-device/logical-channels/channel/state,channel.index=[2818966048],logical-channel-type,0.0,0.0,PROT_OTN
/terminal-device/logical-channels/channel/state,channel.index=[2818966048],loopback-mode,0.0,0.0,NONE
/terminal-device/logical-channels/channel/state,channel.index=[2818966048],test-signal,0.0,0.0,IGNORE
/terminal-device/logical-channels/channel/state,channel.index=[2818966048],link-state,0.0,0.0,UP^DOWN
/terminal-device/logical-channels/channel/ethernet/config,channel.index=[2818966048],client-als,0.0,1.0,IGNORE
/terminal-device/logical-channels/channel/ethernet/config,channel.index=[2818966048],als-delay,0.0,1.0,IGNORE
/terminal-device/logical-channels/channel/ethernet/state,channel.index=[2818966048],client-als,0.0,0.0,IGNORE
/terminal-device/logical-channels/channel/ethernet/state,channel.index=[2818966048],als-delay,0.0,0.0,IGNORE
/terminal-device/logical-channels/channel/ethernet/state,channel.index=[2818966048],in-mac-control-frames,0.0,0.0,IGNORE
/terminal-device/logical-channels/channel/ethernet/state,channel.index=[2818966048],in-mac-pause-frames,0.0,0.0,IGNORE
/terminal-device/logical-channels/channel/ethernet/state,channel.index=[2818966048],in-oversize-frames,0.0,0.0,IGNORE
/terminal-device/logical-channels/channel/ethernet/state,channel.index=[2818966048],in-undersize-frames,0.0,0.0,IGNORE
