XPATH,Parent_Key_Val,Attribute,Is_key_attribute,Is_Configurable_Attribute,Default_Value
/terminal-device/logical-channels/channel,,index,TRUE,TRUE,2147901440
/terminal-device/logical-channels/channel/config,channel.index=[2147901440],index,FALSE,FALSE,2147901440
/terminal-device/logical-channels/channel/config,channel.index=[2147901440],description,FALSE,FALSE,IGNORE
/terminal-device/logical-channels/channel/config,channel.index=[2147901440],admin-state,FALSE,FALSE,IGNORE
/terminal-device/logical-channels/channel/config,channel.index=[2147901440],rate-class,FALSE,FALSE,IGNORE
/terminal-device/logical-channels/channel/config,channel.index=[2147901440],trib-protocol,FALSE,FALSE,IGNORE
/terminal-device/logical-channels/channel/config,channel.index=[2147901440],logical-channel-type,FALSE,FALSE,IGNORE
/terminal-device/logical-channels/channel/config,channel.index=[2147901440],loopback-mode,FALSE,FALSE,IGNORE
/terminal-device/logical-channels/channel/config,channel.index=[2147901440],test-signal,FALSE,FALSE,IGNORE
/terminal-device/logical-channels/channel/state,channel.index=[2147901440],index,FALSE,FALSE,2147901440
/terminal-device/logical-channels/channel/state,channel.index=[2147901440],description,FALSE,FALSE,ethernet-1-4-T5
/terminal-device/logical-channels/channel/state,channel.index=[2147901440],admin-state,FALSE,FALSE,ENABLED
/terminal-device/logical-channels/channel/state,channel.index=[2147901440],rate-class,FALSE,FALSE,TRIB_RATE_100G
/terminal-device/logical-channels/channel/state,channel.index=[2147901440],trib-protocol,FALSE,FALSE,PROT_100GE
/terminal-device/logical-channels/channel/state,channel.index=[2147901440],logical-channel-type,FALSE,FALSE,PROT_ETHERNET
/terminal-device/logical-channels/channel/state,channel.index=[2147901440],loopback-mode,FALSE,FALSE,NONE
/terminal-device/logical-channels/channel/state,channel.index=[2147901440],test-signal,FALSE,FALSE,FALSE
/terminal-device/logical-channels/channel/state,channel.index=[2147901440],link-state,FALSE,FALSE,UP^DOWN
/terminal-device/logical-channels/channel/ethernet/config,channel.index=[2147901440],client-als,FALSE,TRUE,IGNORE
/terminal-device/logical-channels/channel/ethernet/config,channel.index=[2147901440],als-delay,FALSE,TRUE,IGNORE
/terminal-device/logical-channels/channel/ethernet/state,channel.index=[2147901440],client-als,FALSE,FALSE,IGNORE
/terminal-device/logical-channels/channel/ethernet/state,channel.index=[2147901440],als-delay,FALSE,FALSE,IGNORE
/terminal-device/logical-channels/channel/ethernet/state,channel.index=[2147901440],in-mac-control-frames,FALSE,FALSE,IGNORE
/terminal-device/logical-channels/channel/ethernet/state,channel.index=[2147901440],in-mac-pause-frames,FALSE,FALSE,IGNORE
/terminal-device/logical-channels/channel/ethernet/state,channel.index=[2147901440],in-oversize-frames,FALSE,FALSE,IGNORE
/terminal-device/logical-channels/channel/ethernet/state,channel.index=[2147901440],in-undersize-frames,FALSE,FALSE,IGNORE
/terminal-device/logical-channels/channel/ethernet/state,channel.index=[2147901440],in-jabber-frames,FALSE,FALSE,IGNORE
/terminal-device/logical-channels/channel/ethernet/state,channel.index=[2147901440],in-fragment-frames,FALSE,FALSE,IGNORE
/terminal-device/logical-channels/channel/ethernet/state,channel.index=[2147901440],in-8021q-frames,FALSE,FALSE,IGNORE
/terminal-device/logical-channels/channel/ethernet/state,channel.index=[2147901440],in-crc-errors,FALSE,FALSE,IGNORE
/terminal-device/logical-channels/channel/ethernet/state,channel.index=[2147901440],in-block-errors,FALSE,FALSE,IGNORE
/terminal-device/logical-channels/channel/ethernet/state,channel.index=[2147901440],out-mac-control-frames,FALSE,FALSE,IGNORE
/terminal-device/logical-channels/channel/ethernet/state,channel.index=[2147901440],out-mac-pause-frames,FALSE,FALSE,IGNORE
/terminal-device/logical-channels/channel/ethernet/state,channel.index=[2147901440],out-8021q-frames,FALSE,FALSE,IGNORE
/terminal-device/logical-channels/channel/ethernet/state,channel.index=[2147901440],in-pcs-bip-errors,FALSE,FALSE,IGNORE
/terminal-device/logical-channels/channel/ethernet/state,channel.index=[2147901440],in-pcs-errored-seconds,FALSE,FALSE,IGNORE
/terminal-device/logical-channels/channel/ethernet/state,channel.index=[2147901440],in-pcs-severely-errored-seconds,FALSE,FALSE,IGNORE
/terminal-device/logical-channels/channel/ethernet/state,channel.index=[2147901440],in-pcs-unavailable-seconds,FALSE,FALSE,IGNORE
/terminal-device/logical-channels/channel/ethernet/state,channel.index=[2147901440],out-pcs-bip-errors,FALSE,FALSE,IGNORE
/terminal-device/logical-channels/channel/ethernet/state,channel.index=[2147901440],out-crc-errors,FALSE,FALSE,IGNORE
/terminal-device/logical-channels/channel/ethernet/state,channel.index=[2147901440],out-block-errors,FALSE,FALSE,IGNORE
/terminal-device/logical-channels/channel/ethernet/lldp/config,channel.index=[2147901440],enabled,FALSE,TRUE,IGNORE
/terminal-device/logical-channels/channel/ethernet/lldp/config,channel.index=[2147901440],snooping,FALSE,TRUE,IGNORE
/terminal-device/logical-channels/channel/ethernet/lldp/state,channel.index=[2147901440],enabled,FALSE,FALSE,IGNORE
/terminal-device/logical-channels/channel/ethernet/lldp/state,channel.index=[2147901440],snooping,FALSE,FALSE,IGNORE
/terminal-device/logical-channels/channel/ethernet/lldp/state/counters,channel.index=[2147901440],frame-in,FALSE,FALSE,IGNORE
/terminal-device/logical-channels/channel/ethernet/lldp/state/counters,channel.index=[2147901440],frame-out,FALSE,FALSE,IGNORE
/terminal-device/logical-channels/channel/ethernet/lldp/state/counters,channel.index=[2147901440],frame-error-in,FALSE,FALSE,IGNORE
/terminal-device/logical-channels/channel/ethernet/lldp/state/counters,channel.index=[2147901440],frame-discard,FALSE,FALSE,IGNORE
/terminal-device/logical-channels/channel/ethernet/lldp/state/counters,channel.index=[2147901440],tlv-discard,FALSE,FALSE,IGNORE
